offset,modbus_address,name,value,count,type,size,scale_factor,units,rw_access,mandatory,static,label,description
,40002,1 | uint16,,,uint16,,,,Common | Model ID,Model identifier,,,
,40003,uint16,,,uint16,,,,S | Model Len | Model ID,Model len h | Model identifier,,,
,40014,WChaRteMax,,,uint16,,,,Nameplate Ener Capacity,,,Nameplate energy capacity in DC watt-hours,s
,40020,Mn | Md | string,16,,string,,,,S | Model | Manufacturer,Manufacturer specific value (32 chars) | Well known valuer istered with Sun,,,For compliance
,40036,Opt | string,8,,string,,,,S | Options,Manufacturer specific value 16 chars | Manufacturer specific value (32 chars),,,s
,40052,Vr | SN | strin,,,string,,,,S | Serial Number | Version,Manufacturer specific value (32 chars) | Manufacturer specific value (16 chars),,,s
,40068,uint16,,,uint16,,,,S | Device Address,Modbus device address | Manufacturer specific value (32 chars),,,s
,40071,ID,,,uint16,,,,S | Model ID,,,Model ID,Model identifier
,40072,L,,,uint16,,,,S | Model Length,,,Model Length,Model length
,40075,WDiscnaRteMax,,,uint16,,,,Na,late Max Charge Rate Maximum rate of energy transfer into the stor e device in DC watts.,,,
,40076,SoCMax | DisChaRte,,,uint16,,WHR,,Self Discnarge Rate | Nameplate Max Discharge Rate Maximum out of the st,,,Self discharge rate,E device in DC watts
,40078,SoCMax | SOCMin,,,uint16,,WHRte | WHR,,Nameplate Max SoC,,,"Manufacturer maximum state of Charge, expressed as a percentage",s
,40079,SocRsvMax,,,uint16,,WHR | WiiR,,Nameplate Min SoC,,,Manufacturer minimum statgg_gaew.gxvessed as a percenta e,s
,40080,SOCRsvMin,,,SOC SF,,WiiR | WHR,rw,Max Reserve Percent | Min Reserve for minimum reserve for storage as a percentage of the nominal maximum storage.,,,Setpoint for maximum reser ae for storage as a percentage of the nominal maximum storage,
,40082,DoD,,,uint16,,,,State of Char e | Depth of Discharge,,,"State of charge, expressed as d percentage | Depth of discharge. expressed as a percentage-",
,40083,,,,uint16,,,,State of Health | Depth of Discharge,,,Depth of discharge. expressed as a percentage- | Percenta e of battery Ilfe remaining,
,40084,,,,uint16,,,,State of Health | Cycle Count,,,Number of Ies executed i n the battery | Percenta e of battery Ilfe remaining,
,40086,Chast | OFF | EMPTY | CHARGING | DISCHARGING,,,enum16,,,,Cycle Count | Charge Status,,,Charge status of storage dev ce Enumeration | Number of Ies executed i n the battery,s
,40087,CHARGING | TESTING | FULL | HOLDING | LocRemCtl | REMOTE,,,enum16,,,,RO,,,Battery control mode. Enumeration,s
,40088,LOCAL,,,uint16,,,,Battery Heartbeat,,,Value is incremented every second wrth penodic resets to zero,s
,40089,CtrlHb,,,uint16,,,,RO,,,Vd lue is resets to zero,s
,40091,Typ | NOT APPLICABLE UNKNOWN | LEAD ACID | NICKEL METAL HYDRATE | NICKEL CADMIUM | LITHIUM ION | CARBON ZINC,,,enum16,,,,datterv T,,,Twe of battery. Enumeration,
,40092,RECHARGEABLE ALKALINE | OTHER | ZINC CHLORIDE | ALKALINE | SOOILIM SULFUR | FLOW | State,,,enum16,,,,State of the Battery pank,,,"State of the battery bank, Enumerat on",s
,40093,SteteVnd | DISCONNECTED | CONNECTED | FAULTED,,,enum16,,,,Vendor Battery Bank State,Operational State | Vendor specific batt,,Bank state. Enumeration,S
,40096,WerrDt | POWER SAVING | MAINTENANCE | Evtl | OVER SOC MAX WARNING | VOLTAGE IMBALANCE WARNING | ALARM | IEMPERATURE IMBALANCE WARNING | CONTACTOR ERROR | FAN ERROR | GROUND FAULT | OPEN DOOR ERROR | OTHER ALARM | OTHER WARNING | RESERVED 1 | CONFIGURATION ALARM | CONFIGURATION WARNING | RESERVED,,,bitfield32,,,,Warranty Date | Bett Event Bitfield,Alarms and warnings. Bit fla | Date the device warranty expires.,,,s
,40100,EvtVnd1 | EvtVndi | RESERVED,,,bitfield32,,,,Vendor Event Bitfield I,Veneot def•neo events.,,,-4
34,40104,v,,,uint16,,,,,,,,
35,40105,V Max,,,uint16,,v,,External Battery Voltage,WHRtg,,,
36,40106,VMin,,,uint16,,v,,Battery Voltage,Instantaneous maximum battery voltage.,,,
37,40107,CellV,,,uint16,,,,Min Battery Voltage,M,,Cell Voltage,Cell terminal voltage
38,40108,CellV,,,uint16,,,,Max Cen Voltage,Maximum Wltace for all cells in the bank.,,Cell Voltage,Cell terminal voltage
39,40109,CellV,,,uint16,,,,Max Cell Voltage Str.nz,Str.ng conte•ning the cell With maximum e.,,Cell Voltage,Cell terminal voltage
40,40110,cell'VMin,,,uint16,,,,Max Cell Voltage Moaule | Min Cell Vogyg_e,Moeule conta•ning the cell With maximum voltage-,,,
41,40111,CellV,,,uint16,,,,'Min Cell Voltage Strin | Min Cell Vogyg_e,Mintmum Oltege for BII cells In the bane,,Cell Voltage,Cell terminal voltage
42,40112,CellV,,,uint16,,,,'Min Cell Voltage Strin | Min Cell Voltue Module,,,Cell Voltage,Cell terminal voltage
.13,40113,CellV,,,uint16,,,,Average Cen Voltage | Min Cell Voltue Module,Module conta.ning the cell with mtmmum voltage.,,Cell Voltage,Cell terminal voltage
45,40115,ACttaMax,,,int16,,,,Total DC Current | Mex Charge Current,Total DC current the battery,,,
46,40116,ADisChaMax,,,uint16,,,,Mex Charge Current | Max Discharge Current,Instantaneous maxtmum DC cnarge current,,,s
